lemma	pos	polarity_score	has_polarity	provenance
abstinens	adj	0.5	positive	GOLD
absurdus	adj	-1	negative	GOLD
acceptum	noun	0	neutral	GOLD
accessio	noun	0	neutral	GOLD
accuratus	adj	1	positive	GOLD
acerbitas	noun	-0.5	negative	GOLD
acerbus	adj	-1	negative	GOLD
acroama	noun	0.5	positive	GOLD
actor	noun	0	neutral	GOLD
adiectio	noun	0	neutral	GOLD
adiutor	noun	0	neutral	GOLD
adiutorium	noun	0	neutral	GOLD
adiutrix	noun	-0.5	negative	GOLD
admirabilis	adj	1	positive	GOLD
admirandus	adj	1	positive	GOLD
admiratio	noun	0.5	positive	GOLD
admissum	noun	-0.5	negative	GOLD
admonitio	noun	-0.5	negative	GOLD
adulatio	noun	-0.5	negative	GOLD
adultera	noun	-1	negative	GOLD
adulterinus	adj	-1	negative	GOLD
adulterium	noun	-0.5	negative	GOLD
aeger	adj	-1	negative	GOLD
aeger	noun	-1	negative	GOLD
aegrotus	adj	-1	negative	GOLD
aequalitas	noun	0.5	positive	GOLD
aequum	noun	0.5	positive	GOLD
aerumnosus	adj	-1	negative	GOLD
aestimatio	noun	0	neutral	GOLD
aestimator	noun	0	neutral	GOLD
aeternitas	noun	0.5	positive	GOLD
aeternum	noun	0	neutral	GOLD
affectus	noun	0	neutral	GOLD
affinis	adj	0	neutral	GOLD
affinitas	noun	0	neutral	GOLD
affirmatio	noun	0	neutral	GOLD
afflictus	adj	-1	negative	GOLD
agellus	noun	0	neutral	GOLD
ales	adj	0.5	positive	GOLD
ales	noun	0	neutral	GOLD
alienatio	noun	-0.5	negative	GOLD
alienum	noun	0	neutral	GOLD
alumna	noun	0	neutral	GOLD
amabilis	adj	1	positive	GOLD
ambitiosus	adj	-0.5	negative	GOLD
amicitia	noun	1	positive	GOLD
amicus	adj	1	positive	GOLD
amissio	noun	-1	negative	GOLD
anceps	adj	-0.5	negative	GOLD
anicula	noun	0	neutral	GOLD
animaduersio	noun	-0.5	negative	GOLD
animatus	adj	0.5	positive	GOLD
anxius	adj	-1	negative	GOLD
apparatus	adj	1	positive	GOLD
argentarius	noun	0	neutral	GOLD
argutia	noun	1	positive	GOLD
arrogans	adj	-1	negative	GOLD
asperum	noun	-1	negative	GOLD
assentator	noun	-1	negative	GOLD
assiduitas	noun	0.5	positive	GOLD
assuetudo	noun	0	neutral	GOLD
astrictus	adj	-0.5	negative	GOLD
astus	noun	-0.5	negative	GOLD
athleta	noun	0.5	positive	GOLD
atrocitas	noun	-1	negative	GOLD
atrox	adj	-1	negative	GOLD
auarus	noun	-1	negative	GOLD
auctoramentum	noun	0	neutral	GOLD
audens	adj	1	positive	GOLD
auditor	noun	0	neutral	GOLD
bellus	adj	1	positive	GOLD
benefactum	noun	1	positive	GOLD
beneuolentia	noun	1	positive	GOLD
beneuolus	adj	1	positive	GOLD
benignitas	noun	1	positive	GOLD
benignus	adj	1	positive	GOLD
blanditia	noun	0.5	positive	GOLD
blandus	adj	0.5	positive	GOLD
boni	noun	1	positive	GOLD
caecitas	noun	-1	negative	GOLD
caedes	noun	-0.5	negative	GOLD
calamitas	noun	-1	negative	GOLD
calamitosus	adj	-1	negative	GOLD
calculus	noun	0	neutral	GOLD
calumnia	noun	-1	negative	GOLD
calumniator	noun	-1	negative	GOLD
captio	noun	-1	negative	GOLD
catena	noun	0	neutral	GOLD
catulus	noun	0	neutral	GOLD
cauillatio	noun	-0.5	negative	GOLD
cautus	adj	1	positive	GOLD
certum	noun	0	neutral	GOLD
circumscriptio	noun	-0.5	negative	GOLD
clades	noun	-1	negative	GOLD
clemens	adj	1	positive	GOLD
clementia	noun	1	positive	GOLD
cliens	noun	0	neutral	GOLD
clodianus	adj	0	neutral	GOLD
coercitio	noun	-1	negative	GOLD
cognatio	noun	0	neutral	GOLD
cognitor	noun	0	neutral	GOLD
cognitus	adj	0	neutral	GOLD
colaphus	noun	0	neutral	GOLD
collibertus	noun	0	neutral	GOLD
colluuio	noun	-1	negative	GOLD
comitatus	adj	0	neutral	GOLD
commemoratio	noun	0	neutral	GOLD
commendatio	noun	0.5	positive	GOLD
commotus	adj	-0.5	negative	GOLD
compertus	adj	0	neutral	GOLD
compositus	adj	0.5	positive	GOLD
conatus	noun	0	neutral	GOLD
concinnus	adj	1	positive	GOLD
concordia	noun	1	positive	GOLD
condimentum	noun	0.5	positive	GOLD
confessio	noun	0	neutral	GOLD
confessum	noun	0	neutral	GOLD
congiarium	noun	0	neutral	GOLD
coniurati	noun	-0.5	negative	GOLD
coniuratio	noun	-0.5	negative	GOLD
consceleratus	adj	-1	negative	GOLD
conscientia	noun	0	neutral	GOLD
conscius	adj	-0.5	negative	GOLD
consentaneus	adj	0.5	positive	GOLD
consiliarius	noun	0	neutral	GOLD
consolatio	noun	1	positive	GOLD
consortium	noun	0	neutral	GOLD
conspectus	adj	0	neutral	GOLD
constans	adj	0.5	positive	GOLD
constantia	noun	0.5	positive	GOLD
constitutum	noun	0	neutral	GOLD
consummatus	adj	1	positive	GOLD
contemptio	noun	-1	negative	GOLD
contemptus	adj	-1	negative	GOLD
contemptus	noun	-1	negative	GOLD
continentia	noun	0.5	positive	GOLD
contrarium	noun	0	neutral	GOLD
contumelia	noun	-1	negative	GOLD
conuentio	noun	0	neutral	GOLD
conuentum	noun	0	neutral	GOLD
conuersatio	noun	0	neutral	GOLD
conuicium	noun	-1	negative	GOLD
conuictus	noun	0	neutral	GOLD
copiosus	adj	1	positive	GOLD
corrector	noun	0	neutral	GOLD
corruptela	noun	-1	negative	GOLD
corruptor	noun	-1	negative	GOLD
crastinum	noun	0	neutral	GOLD
creatrix	noun	0	neutral	GOLD
credibilis	adj	0.5	positive	GOLD
creditor	noun	0	neutral	GOLD
creditum	noun	0	neutral	GOLD
credulitas	noun	-1	negative	GOLD
credulus	adj	-0.5	negative	GOLD
criminatio	noun	-1	negative	GOLD
criminosus	adj	-1	negative	GOLD
cruciatus	noun	-1	negative	GOLD
crudelis	adj	-1	negative	GOLD
crudelitas	noun	-1	negative	GOLD
cruditas	noun	-1	negative	GOLD
culina	noun	0	neutral	GOLD
cupedo	noun	-0.5	negative	GOLD
cupiditas	noun	-0.5	negative	GOLD
curator	noun	0	neutral	GOLD
damnatio	noun	-1	negative	GOLD
damnum	noun	-1	negative	GOLD
datum	noun	0	neutral	GOLD
debitor	noun	0	neutral	GOLD
debitum	noun	0	neutral	GOLD
decoctor	noun	-1	negative	GOLD
deditus	adj	0	neutral	GOLD
defector	noun	-1	negative	GOLD
defectus	adj	-1	negative	GOLD
deformis	adj	-1	negative	GOLD
defunctus	adj	-0.5	negative	GOLD
degener	adj	-1	negative	GOLD
delenimentum	noun	0.5	positive	GOLD
delicia	noun	0.5	positive	GOLD
delphicus	adj	0	neutral	GOLD
dementia	noun	-1	negative	GOLD
depositum	noun	0	neutral	GOLD
deprecatio	noun	-0.5	negative	GOLD
desidiosus	adj	-1	negative	GOLD
desperatio	noun	-1	negative	GOLD
deterior	adj	-1	negative	GOLD
detestabilis	adj	-1	negative	GOLD
detrimentum	noun	-0.5	negative	GOLD
dignatio	noun	0.5	positive	GOLD
diligens	adj	1	positive	GOLD
dimicatio	noun	-1	negative	GOLD
diploma	noun	0	neutral	GOLD
dirus	adj	-1	negative	GOLD
disertus	adj	1	positive	GOLD
dissimulatio	noun	-0.5	negative	GOLD
diutinus	adj	0	neutral	GOLD
diuturnus	adj	0.5	positive	GOLD
domesticus	noun	0	neutral	GOLD
donatio	noun	0	neutral	GOLD
donum	noun	0	neutral	GOLD
dotatus	adj	1	positive	GOLD
dubium	noun	-0.5	negative	GOLD
ebrietas	noun	-0.5	negative	GOLD
ebriosus	adj	-0.5	negative	GOLD
effeminatus	adj	-1	negative	GOLD
efferus	adj	-1	negative	GOLD
efficiens	adj	0.5	positive	GOLD
effrenatus	adj	-1	negative	GOLD
effugium	noun	0	neutral	GOLD
egens	adj	-0.5	negative	GOLD
egestas	noun	-1	negative	GOLD
electio	noun	0	neutral	GOLD
elegans	adj	1	positive	GOLD
elegantia	noun	1	positive	GOLD
elinguis	adj	-0.5	negative	GOLD
elysius	adj	0	neutral	GOLD
emendatus	adj	1	positive	GOLD
emolumentum	noun	0.5	positive	GOLD
emptor	noun	0	neutral	GOLD
equestria	noun	0	neutral	GOLD
erectus	adj	0.5	positive	GOLD
erratum	noun	-1	negative	GOLD
error	noun	-1	negative	GOLD
eruditus	adj	1	positive	GOLD
erycinus	adj	0	neutral	GOLD
euersio	noun	-1	negative	GOLD
exactor	noun	0	neutral	GOLD
exactus	adj	1	positive	GOLD
excellens	adj	1	positive	GOLD
exceptio	noun	0	neutral	GOLD
excessus	noun	-0.5	negative	GOLD
exitiabilis	adj	-1	negative	GOLD
exitium	noun	-1	negative	GOLD
exorabilis	adj	-0.5	negative	GOLD
expensum	noun	0	neutral	GOLD
exprobratio	noun	-1	negative	GOLD
exsilium	noun	-1	negative	GOLD
exspectatio	noun	0	neutral	GOLD
exstinctor	noun	-0.5	negative	GOLD
exsultatio	noun	0.5	positive	GOLD
externum	noun	0	neutral	GOLD
facetiae	noun	1	positive	GOLD
fallacia	noun	-1	negative	GOLD
fallax	adj	-1	negative	GOLD
fames	noun	-0.5	negative	GOLD
familiaris	adj	0.5	positive	GOLD
familiaritas	noun	0.5	positive	GOLD
fastidiosus	adj	-1	negative	GOLD
fatuus	adj	-1	negative	GOLD
fauor	noun	1	positive	GOLD
fecunditas	noun	1	positive	GOLD
fenerator	noun	-0.5	negative	GOLD
ferus	adj	-1	negative	GOLD
fidelis	adj	1	positive	GOLD
fidus	adj	1	positive	GOLD
firmamentum	noun	0	neutral	GOLD
firmitas	noun	1	positive	GOLD
firmus	adj	1	positive	GOLD
flagitiosus	adj	-1	negative	GOLD
flebilis	adj	-1	negative	GOLD
florens	adj	1	positive	GOLD
flos	noun	0.5	positive	GOLD
formido	noun	-1	negative	GOLD
formidolosus	adj	-1	negative	GOLD
formula	noun	0	neutral	GOLD
fortuita	noun	0	neutral	GOLD
fraudatio	noun	-1	negative	GOLD
fraus	noun	-1	negative	GOLD
fretus	adj	0.5	positive	GOLD
fructuosus	adj	1	positive	GOLD
fructus	noun	0.5	positive	GOLD
frugalis	adj	0.5	positive	GOLD
frugalitas	noun	0.5	positive	GOLD
funestus	adj	-1	negative	GOLD
fungus	noun	0	neutral	GOLD
funus	noun	-0.5	negative	GOLD
fur	noun	-1	negative	GOLD
furcifer	noun	-1	negative	GOLD
furiosus	adj	-1	negative	GOLD
futurum	noun	0	neutral	GOLD
gemitus	noun	-0.5	negative	GOLD
generosus	adj	1	positive	GOLD
geometres	noun	0	neutral	GOLD
grassator	noun	-1	negative	GOLD
gratiosus	adj	1	positive	GOLD
gratulatio	noun	1	positive	GOLD
hellespontiacus	adj	0	neutral	GOLD
hendecasyllabus	noun	0	neutral	GOLD
heracliensis	adj	0	neutral	GOLD
herculeus	adj	0	neutral	GOLD
hilaris	adj	1	positive	GOLD
hilarus	adj	1	positive	GOLD
homuncio	noun	-0.5	negative	GOLD
honestum	noun	1	positive	GOLD
honorificus	adj	1	positive	GOLD
hospitium	noun	0	neutral	GOLD
iactura	noun	-0.5	negative	GOLD
ignarus	adj	-1	negative	GOLD
ignauia	noun	-1	negative	GOLD
ignauus	adj	-1	negative	GOLD
ignauus	noun	-1	negative	GOLD
ignominiosus	adj	-1	negative	GOLD
illepidus	adj	-1	negative	GOLD
illicitus	adj	-1	negative	GOLD
imbecillitas	noun	-1	negative	GOLD
imitatio	noun	-0.5	negative	GOLD
immaturus	adj	-1	negative	GOLD
immemor	adj	-1	negative	GOLD
immerens	adj	1	positive	GOLD
immitis	adj	-1	negative	GOLD
immodicus	adj	-1	negative	GOLD
impatiens	adj	-0.5	negative	GOLD
imperturbatus	adj	1	positive	GOLD
implacabilis	adj	-1	negative	GOLD
importunitas	noun	-1	negative	GOLD
importunus	adj	-1	negative	GOLD
impotens	adj	-1	negative	GOLD
impotentia	noun	-1	negative	GOLD
improuisus	adj	-0.5	negative	GOLD
imprudens	adj	-0.5	negative	GOLD
imprudentia	noun	-0.5	negative	GOLD
impudens	adj	-1	negative	GOLD
impudentia	noun	-1	negative	GOLD
impudicus	adj	-1	negative	GOLD
impulsus	noun	0	neutral	GOLD
impunitas	noun	-0.5	negative	GOLD
impunitus	adj	-1	negative	GOLD
inauditus	adj	0	neutral	GOLD
inausus	adj	0	neutral	GOLD
incautus	adj	-1	negative	GOLD
incommodum	noun	-1	negative	GOLD
inconcussus	adj	0.5	positive	GOLD
inconsultus	adj	-0.5	negative	GOLD
incorruptus	adj	1	positive	GOLD
index	noun	-0.5	negative	GOLD
indifferens	adj	0	neutral	GOLD
indigens	adj	-1	negative	GOLD
indignatio	noun	-1	negative	GOLD
indoles	noun	0	neutral	GOLD
indulgens	adj	1	positive	GOLD
indulgentia	noun	0.5	positive	GOLD
